OTU_ID,t00,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t17,t18,t19
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis;s__;d__denovo12,0,0,7,29,60,233,891,372,204,383,1014,3357,5098,7197,8295,6253,10530,8292
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo6,16,9,24,119,597,1710,7181,3583,3788,3143,2597,1812,2121,1204,1890,2858,5067,4399
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium;s__;d__denovo61,549,13,3,0,0,0,0,0,0,0,2,1872,978,134,245,877,1881,2388
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI;g__Anaerosalibacter;s__;d__denovo70,0,0,0,0,0,0,0,0,0,0,0,0,7,39,249,456,1709,1671
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI;s__;d__denovo76,1,0,0,0,0,0,0,0,0,1,5,146,200,298,507,257,1290,1364
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter;s__;d__denovo5,0,1,6,9,16,30,106,69,136,142,183,125,175,115,216,333,746,790
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__;d__denovo10,0,3,5,2,3,5,43,164,1183,2626,3316,1654,1421,831,850,497,583,559
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megamonas;s__;d__denovo1,17490,15003,16234,17358,8425,10256,6504,1068,500,131,991,578,442,351,481,256,610,541
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae_1;g__Paenibacillus;s__;d__denovo157,0,0,0,0,0,0,0,1,34,32,43,51,43,63,116,222,225,418
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor;s__;d__denovo89,0,3,3,10,5,32,476,333,362,295,179,116,153,137,210,190,371,381
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__;d__denovo71,19,0,0,105,192,241,338,418,333,539,723,404,252,71,153,203,508,339
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_XVIII;s__;d__denovo98,0,0,0,0,1,3,46,73,110,191,253,271,386,402,530,203,282,327
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo99,99,49,9,3,0,0,293,61,111,542,326,85,115,96,222,115,171,296
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__;d__denovo140,97,35,2,0,1,0,0,2,33,253,70,32,21,11,40,14,404,277
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo27,1257,814,211,246,602,603,161,91,279,367,183,2696,6,5,2,0,26,194
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__;d__denovo2,0,98,1775,4606,8022,11350,9882,4577,4052,2901,869,114,56,32,54,68,180,191
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__;d__denovo164,0,0,0,0,0,0,0,0,0,0,2,71,117,126,142,92,194,170
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa;s__;d__denovo75,189,196,12,3,2,291,285,79,203,1037,306,134,114,62,91,16,46,87
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__;d__denovo184,0,1,0,6,3,13,97,111,177,171,95,10,1,4,3,53,98,76
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__;d__denovo147,0,0,0,0,0,0,65,10,8,88,303,219,96,52,63,63,79,75
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI;s__;d__denovo54,1416,9,1,0,0,0,0,0,0,0,0,71,310,510,721,334,235,72
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo249,0,0,0,0,0,0,0,6,7,13,9,16,37,22,61,28,62,67
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo199,99,121,33,18,21,4,38,39,82,46,11,6,7,8,21,17,35,40
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__;d__denovo226,61,29,4,3,8,38,178,65,24,7,6,10,41,0,0,2,7,15
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__;d__denovo174,199,5,0,0,0,0,0,0,0,0,1,667,297,21,1,3,13,13
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__;d__denovo559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,21,13
